date,type,operator,fatalities,country,cat,year
1998-05-10,DHC-8-315 Dash 8,South African Express Airways,0.0,South Africa,A2,1998
1998-05-10,Airbus A340-312,TAP,0.0,South Africa,A2,1998
1998-05-11,Antonov An-12B,Tyumenaviatrans,0.0,Angola,A1,1998
1998-05-12,Xian Yunshuji Y-7H-500,Mauritanian AF,39.0,Mauritania,A1,1998
1998-05-12,Boeing 767-33AER,Ethiopian Airlines,0.0,Egypt,A2,1998
1998-05-12,Airbus A320-231,EgyptAir,0.0,Egypt,A2,1998
1998-05-14,Cessna 208 Caravan I,Baker Aviation,0.0,USA,A2,1998
1998-05-15,Fokker F-28 Fellowship 4000,Merpati Nusantara,0.0,Indonesia,A1,1998
1998-05-16,Fokker F-28 Fellowship 4000,Manunggal Air,0.0,Singapore,A1,1998
1998-05-20,BAe BAe-748-344 Srs. 2A,Intensive Air,0.0,South Africa,O2,1998
1998-05-20,Airbus A340-313,Iberia,0.0,South Africa,O2,1998
1998-05-21,Airbus A320-212,Air UK Leisure,0.0,Spain,A2,1998
1998-05-24,Douglas C-47A (DC-3),Majestic Air Cargo,0.0,USA,A1,1998
1998-05-24,Fokker F-27 Friendship 200,PIA,0.0,Pakistan,H2,1998
1998-05-25,Yakovlev Yak-40,Lao Aviation,26.0,Laos,A1,1998
1998-05-26,Harbin Yunshuji Y-12 II,MIAT,28.0,Mongolia,A1,1998
1998-05-30,Convair CV-240-17,Trans Florida Airlines,0.0,Puerto Rico,A1,1998
1998-06-02,Antonov An-2R,ZUA,1.0,Iran,A2,1998
1998-06-03,Swearingen SA227-AC Metro III,Air Tango,0.0,Argentina,A1,1998
1998-06-05,Boeing 727-25F,Aero Zambia,0.0,Eritrea,O1,1998
1998-06-17,Boeing 737-322,United Airlines,0.0,USA,A2,1998
1998-06-18,Swearingen SA226-TC Metro II,Propair,11.0,Canada,A1,1998
1998-06-19,Cessna 500 Citation I,JJU Aviation,0.0,USA,A1,1998
1998-06-23,Boeing 727,Iberia,0.0,Spain,H2,1998
1998-06-25,BAe 3212 Jetstream 32,LAER,0.0,Argentina,A2,1998
1998-06-26,Beech 200 Super King Air,"Federal Aviation, op.for UN",7.0,Cote d'Ivoire,A1,1998
1998-06-26,Lockheed L-100-30 Hercules,Lynden Air Cargo,0.0,USA,A2,1998
1998-06-27,Let L-410UVP-E,Air Parabat,0.0,Bangladesh,A1,1998
1998-06-27,Lockheed SP-2H Neptune,Neptune Aviation Services,2.0,USA,A1,1998
1998-06-28,BN-2B-20 slander,Britten-Norman,0.0,Romania,A1,1998
1998-07-02,Dassault Falcon 900,TAG Aviation USA,0.0,USA,A2,1998
1998-07-08,Antonov An-2T,Yakutsk ASK ROSTO,1.0,Russia,A1,1998
1998-07-13,Ilyushin Il-76MD,ATI Aircompany,8.0,U.A.E.,A1,1998
1998-07-16,DC-9-41,Dinar LÃ­neas AÃ©reas,0.0,Argentina,A2,1998
1998-07-16,Rockwell Sabreliner 60,Alas del Sur,3.0,Argentina,A1,1998
1998-07-17,Ilyushin Il-78,"Ukrainian Cargo Airways, op.for Air Sofia",10.0,Eritrea,A1,1998
1998-07-18,Rockwell Sabreliner 75,Executive Aircraft Corporation,2.0,USA,A1,1998
1998-07-19,Boeing 737-2J8C,Sudan Airways,0.0,Sudan,A1,1998
1998-07-23,Shorts SC.7 Skyvan 3-100,Mexican AF,4.0,Mexico,A1,1998
1998-07-23,Antonov An-12,Norilsk Air Enterprise,0.0,Russia,A1,1998
1998-07-23,DHC-6 Twin Otter 200,Adlair,0.0,Canada,A2,1998
1998-07-24,Cessna 500 Citation I,Skyward Aviation,0.0,USA,A1,1998
1998-07-25,Beech 1900D,Avior,0.0,Colombia,H2,1998
1998-07-26,Fairchild FH-227B,Legion Express,0.0,Iceland,A1,1998
1998-07-27,Consolidated PBY-5AÂ Catalina,Plane Sailing,2.0,U.K.,A1,1998
1998-07-28,Fairchild SA227-AC Metro III,Swiftair,2.0,Spain,A1,1998
1998-07-29,Embraer EMB-110P1 Bandeirante,Selva Taxi AÃ©reo,12.0,Brazil,A1,1998
1998-07-30,HAL/Dornier 228-201,Alliance Air,9.0,India,A1,1998
1998-07-30,Beech 1900D,Proteus Air,14.0,France,A1,1998
1998-07-31,Douglas DC-3C,Majestic Air Cargo,0.0,USA,A2,1998
1998-08-02,Antonov An-32,Taliban Air Force,5.0,Afghanistan,A1,1998
1998-08-02,Boeing 727,Blue Airlines,0.0,D.R. Congo,H2,1998
1998-08-04,Boeing 707,Congo Air Cargo,0.0,D.R. Congo,H2,1998
1998-08-04,Boeing 707-300,"Air Atlantic Cargo, op.for Lignes Aeriennes Congolaises",0.0,D.R. Congo,H2,1998
1998-08-05,Boeing 747-4B5,Korean Air,0.0,South Korea,A1,1998
1998-08-06,BAe BAe-748-310 Srs. 2A LFD,Wasaya Airways,0.0,Canada,A1,1998
1998-08-09,Tupolev Tu-154,East Line,0.0,Russia,H2,1998
1998-08-11,Antonov An-12,Alada,1.0,Angola,A1,1998
1998-08-14,Antonov An-2R,Polyarnye Avialinii,0.0,,A1,1998
1998-08-14,Boeing 737-490,Alaska Airlines,0.0,USA,A2,1998
1998-08-14,Yakovlev Yak-40,Kyrgyzstan Airlines,0.0,Kyrgyzstan,A1,1998
1998-08-19,DHC-6 Twin Otter 100,Chilean AF,0.0,Chile,A1,1998
1998-08-19,Antonov An-2,Aeroklub Togliatti,0.0,Russia,A1,1998
1998-08-19,Antonov An-12BP,Motor Sich,0.0,Indonesia,A1,1998
1998-08-19,Beech 1900D,"United Express, opb Great Lakes Airlines",0.0,USA,A2,1998
1998-08-21,DHC-6 Twin Otter 300,"Nepalese CAA, op.for Lumbini Airways",18.0,Nepal,A1,1998
1998-08-24,AMI DC-3-65TP,"Airworld, op.for Speed Service Couriers",1.0,South Africa,A1,1998
1998-08-24,Fokker F-27 Friendship 600,Myanma Airways,36.0,Myanmar,A1,1998
1998-08-24,Antonov An-32B,SADELCA Colombia,0.0,Colombia,A1,1998
1998-08-24,Antonov An-26,Yenisei Meridian,0.0,Russia,A1,1998
1998-08-26,Antonov An-12BP,Techaviaservice,13.0,Angola,A1,1998
1998-08-28,Dassault Falcon 20C,Reliant Airlines,0.0,USA,A1,1998
1998-08-29,Tupolev Tu-154M,Cubana,80.0,Ecuador,A1,1998
1998-08-29,Airbus A340-211,Sabena,0.0,Belgium,A2,1998
1998-08-31,Boeing 727-228F,DHL Airways,0.0,USA,A1,1998
1998-09-02,MD-11,Swissair,229.0,Canada,A1,1998
1998-09-02,Antonov An-26B,"Permskiye motory, op.for Prestavia",24.0,Angola,C1,1998
1998-09-02,DC-9-31,US Airways,0.0,USA,A2,1998
1998-09-05,Boeing 707-138B,Jaffe Group,0.0,Nigeria,O1,1998
1998-09-05,Yakovlev Yak-40K,"Kotlas Avia Enterprise, op.for GEASA",0.0,Eq. Guinea,A2,1998
1998-09-06,Beech B200 Super King Air,West Ward Cattle,0.0,USA,A1,1998
1998-09-10,Lockheed C-130B Hercules,Pakistan AF,0.0,Pakistan,O1,1998
1998-09-10,Lockheed C-130B Hercules,Pakistan AF,5.0,Pakistan,A1,1998
1998-09-10,MD-11,China Eastern,0.0,China,A2,1998
1998-09-11,Boeing 767-34AF,UPS,0.0,USA,A2,1998
1998-09-11,Beech 1900C,Alaska Central Express,0.0,USA,A2,1998
1998-09-14,Antonov An-32B,Avia Trend,0.0,Kenya,A1,1998
1998-09-14,Airbus A310-203,THY,0.0,Turkey,H2,1998
1998-09-16,Boeing 737-524,Continental Air Lines,0.0,Mexico,A1,1998
1998-09-16,IAI Arava 201,Mexican AF,0.0,Mexico,A1,1998
1998-09-18,GAF Nomad N.22S Searchmaster L,U.S. Customs,1.0,Puerto Rico,A1,1998
1998-09-18,Cessna C-98 Caravan I (208A),Brazilian AF,0.0,Peru,A1,1998
1998-09-18,GAF Nomad N.22S Searchmaster L,U.S. Customs,0.0,Puerto Rico,A2,1998
1998-09-22,Lockheed C-121C Super Constellation,Aerochago Airlines,0.0,Dominican Rep.,O1,1998
1998-09-22,Curtiss C-46D,AMSA,0.0,Dominican Rep.,O1,1998
1998-09-24,Convair CV-240-13,Trans Florida Airlines,0.0,Puerto Rico,A1,1998
1998-09-25,BAe-146-100,Paukn Air,38.0,Morocco,A1,1998
1998-09-25,BN-2A-3 Islander,TanaMana Aviation,4.0,Uganda,A1,1998
1998-09-26,Beech 200 Super King Air,Indonesia Air Transport - IAT,0.0,Indonesia,U1,1998
1998-09-26,Grumman HU-16C Albatross,private,0.0,USA,A2,1998
1998-09-26,Cessna 560 Citation Ultra,Gamston Aviation,0.0,U.K.,A2,1998
1998-09-28,DHC-6 Twin Otter 300,TACV,1.0,Cape Verde,A1,1998
1998-09-28,Cessna 551 Citation II/SP,Ram Air Sales and Leasing,0.0,USA,A2,1998
1998-09-29,Antonov An-24RV,"Gomelavia, op.for LionAir",55.0,Sri Lanka,C1,1998
1998-10-02,Douglas DC-3C,Servivensa,1.0,Venezuela,A1,1998
1998-10-05,Boeing 747SP-44,"South African Airways, op.for LAM",0.0,Mozambique,A1,1998
1998-10-07,Boeing 727-224,Continental Air Lines,0.0,USA,A1,1998
1998-10-10,Boeing 727-30,Lignes Aeriennes Congolaises,41.0,D.R. Congo,C1,1998
1998-10-14,Shorts SC.7 Skyvan 3-100,Venezuela Ministry of Transport,0.0,Venezuela,O1,1998
1998-10-14,Shorts SC.7 Skyvan 3-100,Venezuela Ministry of Transport,0.0,Venezuela,O1,1998
1998-10-17,Beech 99,Alpine Aviation,0.0,USA,A1,1998
1998-10-17,Shorts SC.7 Skyvan 3M-400,Pink Aviation Services,0.0,Austria,A1,1998
1998-10-19,BN-2B-21 Islander,Belize AF,,Belize,A1,1998
1998-10-20,Beech B200 King Air,Mallen Industries,0.0,USA,A2,1998
1998-10-21,Embraer EMB-120RT Brasilia,Capital TÃ¡xi AÃ©reo,4.0,Brazil,A1,1998
1998-10-21,Yakovlev Yak-40,Ararat Avia,4.0,Armenia,A1,1998
1998-10-24,Antonov An-12A,Centrafrican Airlines,3.0,D.R. Congo,A1,1998
1998-10-25,ATR 42-312,"American Eagle Airlines, opb Executive Airlines",0.0,Puerto Rico,A1,1998
1998-10-27,Learjet 45,Lear Jet,0.0,USA,A1,1998
1998-10-28,Boeing 737,Air China,0.0,Taiwan,H2,1998
1998-10-29,Boeing 737-4Y0,THY,1.0,Turkey,H2,1998
1998-11-01,Douglas C-47A (DC-3),Living Water Teaching Ministries,11.0,Guatemala,A1,1998
1998-11-01,Boeing 737-2P6,AirTran Airways,0.0,USA,A1,1998
1998-11-06,Beech 200 Super King Air,AD Aviation Aircharters,3.0,Kenya,A1,1998
1998-11-06,Beech RC-12K Huron,US Army,2.0,Germany,A1,1998
1998-11-11,Antonov An-12B,Viluy,13.0,Russia,A1,1998
1998-11-11,Ilyushin Il-62M,Aeroflot,0.0,USA,O1,1998
1998-11-11,MD-11,Delta Air Lines,0.0,USA,A2,1998
1998-11-14,Boeing 707-355C,IAT Cargo,0.0,Belgium,A1,1998
1998-11-20,Learjet 24D,Mexican Navy,0.0,Mexico,A1,1998
1998-11-23,Cessna 208B Super Cargomaster,Regency Express Air,2.0,Canada,A1,1998
1998-11-23,Swearingen SA226-TC Metro II,KaikÃ©n LÃ­neas AÃ©reas,0.0,Argentina,A1,1998
1998-11-23,Ilyushin Il-18Gr,Air Cess,0.0,D.R. Congo,C1,1998
1998-11-25,Cessna 208 Caravan I,Pan African Airlines,0.0,Nigeria,A1,1998
1998-11-27,Lockheed L-1329-25 JetStar II,Banair,0.0,USA,A1,1998
